left,right,expect_time
1,1,0.0
1,2,0.5136
1,3,2.5501
1,5,5.0399
1,6,5.3256
1,7,7.1242
1,8,5.3688
1,9,5.3688
1,10,6.8996
1,11,9.5291
1,12,7.1538
1,13,6.5041
1,14,9.7576
1,15,7.014
1,16,5.8358
1,17,0.5191
1,18,2.5769
1,19,0.5224
1,20,4.7842
1,21,2.5769
1,22,5.9756
1,23,6.682
1,24,6.9426
1,25,6.3164
1,26,6.682
1,27,3.5512
1,28,5.7735
1,29,5.7781
1,30,6.6089
1,34,6.9426
1,35,5.1424
1,37,6.2999
1,38,6.6089
1,39,7.1538
1,40,5.1668
1,41,5.1657
1,45,6.8933
1,48,4.7842
1,49,5.9756
1,50,6.7173
1,51,6.3164
1,52,5.0374
1,56,7.8427
1,57,6.6492
1,58,9.546
1,59,8.1818
1,62,13.2234
1,66,9.8465
1,67,9.7576
1,69,6.4931
1,70,10.4353
1,73,6.7173
1,74,9.0862
1,75,5.1668
1,77,7.1421
1,80,4.7946
1,81,12.1223
1,87,5.0374
1,92,9.5291
1,93,5.1424
1,95,10.4063
1,102,10.4522
1,108,7.912
1,112,6.887
1,116,5.442
1,118,5.7646
1,119,13.0569
1,120,7.0015
1,121,9.7449
1,122,6.9426
1,123,9.5505
1,125,9.546
1,126,6.6492
1,128,4.8537
1,129,5.8358
1,130,6.6089
1,131,11.6478
1,132,9.5128
1,133,7.9351
1,135,9.0635
1,136,10.0527
1,137,9.3083
1,138,5.963
1,139,7.2395
1,140,7.4703
1,141,10.8977
1,142,9.7441
1,144,5.1848
1,146,7.4185
1,148,7.0169
1,149,3.5512
1,152,6.682
1,153,5.1848
1,158,9.0862
1,159,6.9105
1,162,7.0517
1,166,5.8083
1,167,9.7396
1,169,8.0563
1,171,5.0649
1,172,6.9821
1,175,0.5191
1,179,6.7173
1,180,10.0527
1,181,5.0374
1,183,5.4055
1,186,6.6803
1,187,6.5041
1,189,9.5505
1,190,10.4063
1,191,7.1538
1,192,6.9105
1,194,5.0374
1,195,7.0596
1,196,9.4762
1,198,2.5769
1,199,9.7396
1,202,9.0673
1,203,5.7735
1,204,6.298
1,206,8.1818
1,209,7.1421
1,210,4.7842
1,213,6.5057
1,216,6.6492
1,217,9.546
1,218,8.1818
1,221,9.7576
1,222,6.6089
1,223,6.5057
1,225,6.6089
1,227,9.3083
1,229,10.2514
1,240,5.1848
1,241,7.1538
1,248,6.682
1,261,2.5769
1,263,12.1223
1,271,2.5661
1,272,6.0515
1,276,9.5505
1,278,8.1684
1,280,7.9582
1,286,9.1187
1,293,6.6089
1,296,4.8537
1,297,9.0673
1,298,9.0862
1,299,8.2796
1,300,6.9426
1,308,4.8537
1,309,9.0673
1,310,9.0862
1,311,7.1421
1,317,10.4063
1,320,9.7396
1,328,9.5286
1,333,5.0412
1,336,5.971
1,338,5.0487
1,341,6.3004
1,342,6.9426
1,343,6.6803
1,346,13.2234
1,347,9.7464
1,348,0.524
1,351,6.6985
1,354,2.5661
1,355,5.8358
1,356,7.2074
1,359,8.0563
1,360,10.4063
1,366,4.8537
1,367,5.8105
1,373,6.6803
1,374,9.5405
1,375,8.2796
1,378,9.1031
1,379,6.887
1,384,6.9426
1,385,9.7449
1,386,7.1236
1,390,10.138
1,397,9.0875
1,398,0.524
1,402,10.2498
1,406,9.7449
1,431,9.5456
1,444,6.6105
1,445,5.9791
1,456,7.9917
1,471,11.6478
1,480,7.4709
1,491,6.9019
1,493,9.5037
1,516,6.9426
1,517,5.0749
1,518,7.372
1,523,8.6447
1,528,7.4709
1,529,6.9105
1,530,7.1421
1,533,6.8459
1,534,11.4703
1,535,12.1223
1,539,9.8465
1,540,10.0448
1,548,6.5051
1,552,10.4353
1,560,10.0936
1,561,9.5286
1,567,8.4464
1,603,10.4522
1,615,9.0337
1,622,9.2954
1,623,12.6997
1,624,10.098
1,625,10.9623
1,628,6.8459
1,630,6.7173
1,632,6.5806
1,633,8.154
1,634,5.8358
1,635,7.8805
1,636,7.9917
1,637,7.8018
1,640,10.5857
1,641,5.51
1,642,11.4044
1,643,8.5692
1,644,10.0936
