left,right,expect_time
1,1,0.0
1,2,0.5134
1,3,3.6083
1,5,5.0399
1,6,4.4
1,7,7.1242
1,8,4.465
1,9,4.465
1,10,6.5769
1,11,8.6822
1,12,7.1522
1,13,6.509
1,14,9.7576
1,15,6.6817
1,16,6.0818
1,17,0.519
1,18,3.612
1,19,0.5223
1,20,5.0445
1,21,3.612
1,22,5.9756
1,23,6.0278
1,24,7.5965
1,25,6.3164
1,26,6.0278
1,27,3.5512
1,28,5.7735
1,29,5.7781
1,30,6.7722
1,34,7.5965
1,35,5.1424
1,37,6.2999
1,38,6.7722
1,39,7.1522
1,40,5.126
1,41,5.1204
1,45,6.5729
1,48,5.0445
1,49,5.9756
1,50,6.4577
1,51,6.3164
1,52,5.0374
1,56,7.7021
1,57,6.4548
1,58,9.4614
1,59,7.6954
1,62,12.5461
1,66,9.1347
1,67,9.7576
1,69,6.498
1,70,10.4353
1,73,6.4577
1,74,8.4421
1,75,5.126
1,77,7.231
1,80,5.0628
1,81,12.3085
1,87,5.0374
1,92,8.6822
1,93,5.1424
1,95,10.3462
1,102,9.7257
1,108,7.7744
1,112,6.5578
1,116,4.543
1,118,5.7646
1,119,12.9428
1,120,6.6695
1,121,9.7449
1,122,7.5965
1,123,8.7077
1,125,9.4614
1,126,6.4548
1,128,5.1093
1,129,6.0818
1,130,6.7722
1,131,10.6536
1,132,8.6564
1,133,7.7985
1,135,7.6821
1,136,9.1625
1,137,8.0193
1,138,5.963
1,142,9.7441
1,144,5.1435
1,146,5.4247
1,148,6.6848
1,149,3.5512
1,152,6.0278
1,153,5.1435
1,158,8.4421
1,159,6.5911
1,166,5.8083
1,167,9.7396
1,169,6.9384
1,171,5.0649
1,172,6.6482
1,175,0.519
1,179,6.4577
1,181,5.0374
1,183,4.5004
1,186,6.0286
1,187,6.509
1,189,8.7077
1,190,10.3462
1,191,7.1522
1,192,6.5911
1,194,5.0374
1,195,6.3059
1,198,3.612
1,199,9.7396
1,202,8.4227
1,203,5.7735
1,204,6.298
1,206,7.6954
1,209,7.231
1,210,5.0445
1,213,6.5106
1,216,6.4548
1,217,9.4614
1,218,7.6954
1,221,9.7576
1,222,6.7722
1,223,6.5106
1,225,6.7722
1,229,9.5109
1,240,5.1435
1,241,7.1522
1,248,6.0278
1,261,3.612
1,263,12.3085
1,271,3.6306
1,272,6.0515
1,276,8.7077
1,278,7.6795
1,280,7.8225
1,286,8.4778
1,293,6.7722
1,296,5.1093
1,298,8.4421
1,299,8.2545
1,300,7.5965
1,308,5.1093
1,309,8.4227
1,310,8.4421
1,311,7.231
1,317,10.3462
1,320,9.7396
1,328,8.8657
1,333,5.0412
1,336,5.971
1,338,5.0487
1,341,6.3004
1,342,7.5965
1,346,12.5461
1,347,9.7464
1,348,0.524
1,351,6.0443
1,354,3.759
1,355,6.0818
1,356,7.4973
1,359,6.9384
1,360,10.3462
1,366,5.1093
1,367,5.8105
1,373,6.0286
1,374,9.4556
1,375,8.2545
1,378,8.4607
1,379,6.5578
1,384,7.5965
1,385,9.7449
1,386,7.1236
1,390,9.5401
1,397,8.4436
1,398,0.524
1,402,10.139
1,406,9.7449
1,431,8.7021
1,445,5.9791
1,456,7.2735
1,491,6.582
1,493,9.4233
1,516,7.5965
1,517,5.0749
1,523,6.9137
1,528,7.6662
1,529,6.5911
1,530,7.231
1,535,12.3085
1,539,9.1347
1,548,6.51
1,567,8.4588
1,622,9.1726
1,623,12.7439
1,624,9.463
1,625,10.207
1,628,6.7936
1,630,6.4577
1,632,6.7468
1,633,7.6557
1,634,6.0818
1,4003,0.5188
1,4004,6.498
1,4005,6.7468
1,4006,5.9607
1,4007,5.7646
1,4008,9.1726
1,4010,8.6564
1,4011,5.0628
1,4012,8.6564
1,4013,5.1204
1,4014,0.5188
1,4015,7.1242
1,4016,6.498
1,4017,9.4233
1,4018,9.7449
1,4019,12.5461
1,4020,5.7646
1,4021,10.6536
1,4022,4.4236
2,1,0.5144
2,2,0.05
2,3,6.2435
2,4,5.9026
2,5,7.166
2,6,6.784
2,8,6.5452
2,9,6.5452
2,10,6.8729
2,11,8.169
2,12,6.1409
2,13,8.7118
2,14,8.9037
2,15,8.4088
2,16,1.764
2,17,0.521
2,18,5.04
2,19,0.5243
2,20,6.2131
2,21,5.04
2,22,5.9256
2,23,6.5434
2,24,7.4676
2,25,6.7844
2,26,6.5434
2,27,5.9612
2,28,7.2043
2,29,7.2621
2,30,8.3423
2,34,10.4855
2,35,5.8129
2,37,6.7809
2,38,8.3423
2,39,6.1409
2,40,7.6707
2,41,7.6804
2,45,6.8721
2,48,6.2131
2,49,5.9256
2,50,8.8428
2,51,6.7844
2,52,5.752
2,56,7.3545
2,57,7.4668
2,58,10.2249
2,59,8.4376
2,62,12.1938
2,66,9.9163
2,67,8.9037
2,69,8.7035
2,70,10.6295
2,73,10.1391
2,74,10.0169
2,75,7.6707
2,77,7.7051
2,80,5.063
2,81,8.8864
2,87,5.752
2,92,8.169
2,93,5.8129
2,95,8.1748
2,102,7.8222
2,108,6.4518
2,112,6.5582
2,116,6.5801
2,118,5.7648
2,119,10.7123
2,120,8.3871
2,121,12.3087
2,122,7.4676
2,123,8.1877
2,125,10.2249
2,126,7.4668
2,128,6.3427
2,129,1.764
2,130,8.3423
2,131,11.1685
2,132,9.511
2,133,6.4626
2,135,4.8025
2,136,8.4699
2,137,4.6683
2,138,5.8985
2,142,8.8935
2,144,7.685
2,146,7.7959
2,148,8.4122
2,149,5.9612
2,152,6.5434
2,153,7.685
2,158,10.0169
2,159,6.9107
2,166,7.3115
2,167,8.8901
2,169,7.3544
2,171,5.7648
2,172,8.459
2,175,0.521
2,179,8.8428
2,181,5.752
2,183,6.5642
