left,right,expect_time
1,1,0.0
1,2,0.5134
1,3,5.0746
1,5,5.0399
1,6,4.4
1,7,7.1242
1,8,4.465
1,9,4.465
1,10,6.5769
1,11,8.6822
1,12,7.1522
1,13,6.509
1,14,9.7576
1,15,6.6817
1,16,6.455
1,17,0.519
1,18,5.0458
1,19,0.5223
1,20,5.4106
1,21,5.0458
1,22,5.9756
1,23,6.2821
1,24,8.3632
1,25,6.3164
1,26,6.2821
1,27,3.5512
1,28,5.7735
1,29,5.7781
1,30,6.9905
1,34,8.3632
1,35,5.1424
1,37,6.2999
1,38,6.9905
1,39,7.1522
1,40,5.4946
1,41,5.4965
1,45,6.5729
1,48,5.4106
1,49,5.9756
1,50,6.4577
1,51,6.3164
1,52,5.0374
1,56,7.7021
1,57,6.4548
1,58,9.4614
1,59,7.6954
1,62,14.3505
1,66,9.22
1,67,9.7576
1,69,6.498
1,70,12.3241
1,73,6.4577
1,74,8.4421
1,75,5.4946
1,77,7.7144
1,80,5.4275
1,81,14.4841
1,87,5.0374
1,92,8.6822
1,93,5.1424
1,95,10.3462
1,102,9.833
1,108,7.7744
1,112,6.5578
1,116,4.543
1,118,5.7646
1,119,15.1104
1,120,6.6695
1,121,9.7449
1,122,8.3632
1,123,8.7077
1,125,9.4614
1,126,6.4548
1,128,5.4686
1,129,6.455
1,130,6.9905
1,131,12.5546
1,132,8.6564
1,133,7.7985
1,135,7.6821
1,136,9.1625
1,137,8.0193
1,138,5.963
1,142,9.7441
1,144,5.5104
1,146,6.0558
1,148,6.6848
1,149,3.5512
1,152,6.2821
1,153,5.5104
1,158,8.4421
1,159,6.5911
1,166,5.8083
1,167,9.7396
1,169,6.9384
1,171,5.0649
1,172,6.6482
1,175,0.519
1,179,6.4577
1,181,5.0374
1,183,4.5004
1,186,6.2802
1,187,6.509
1,189,8.7077
1,190,10.3462
1,191,7.1522
1,192,6.5911
1,194,5.0374
1,195,6.3059
1,198,5.0458
1,199,9.7396
1,202,8.4227
1,203,5.7735
1,204,6.298
1,206,7.6954
1,209,7.7144
1,210,5.4106
1,213,6.5106
1,216,6.4548
1,217,9.4614
1,218,7.6954
1,221,9.7576
1,222,6.9905
1,223,6.5106
1,225,6.9905
1,229,9.5109
1,240,5.5104
1,241,7.1522
1,248,6.2821
1,261,5.0458
1,263,14.4841
1,271,5.1045
1,272,6.0515
1,276,8.7077
1,278,7.6795
1,280,7.8225
1,286,8.4778
1,293,6.9905
1,296,5.4686
1,298,8.4421
1,299,8.3714
1,300,8.3632
1,308,5.4686
1,309,8.4227
1,310,8.4421
1,311,7.7144
1,317,10.3462
1,320,9.7396
1,328,8.8657
1,333,5.0412
1,336,5.971
1,338,5.0487
1,341,6.3004
1,342,8.3632
1,346,14.3505
1,347,9.7464
1,348,0.524
1,351,6.2973
1,354,5.4055
1,355,6.455
1,356,7.9102
1,359,6.9384
1,360,10.3462
1,366,5.4686
1,367,5.8105
1,373,6.2802
1,374,9.4556
1,375,8.3714
1,378,8.4607
1,379,6.5578
1,384,8.3632
1,385,9.7449
1,386,7.1236
1,390,9.5869
1,397,8.4436
1,398,0.524
1,402,12.0636
1,406,9.7449
1,431,8.7021
1,445,5.9791
1,456,7.3809
1,491,6.582
1,493,9.4233
1,516,8.3632
1,517,5.0749
1,523,7.1532
1,528,7.9495
1,529,6.5911
1,530,7.7144
1,535,14.4841
1,539,9.22
1,548,6.51
1,567,8.7379
1,622,11.0713
1,623,14.6059
1,624,9.463
1,625,10.207
1,628,6.9187
1,630,6.4577
1,632,6.9623
1,633,7.6557
1,634,6.455
1,4003,0.5188
1,4004,6.498
1,4005,6.9623
1,4006,5.9607
1,4007,5.7646
1,4008,11.0713
1,4010,8.6564
1,4011,5.4275
1,4012,8.6564
1,4013,5.4965
1,4014,0.5188
1,4015,7.1242
1,4016,6.498
1,4017,9.4233
1,4018,9.7449
1,4019,14.3505
1,4020,5.7646
1,4021,12.5546
1,4022,4.4236
2,1,0.5144
2,2,0.05
2,3,6.2435
2,4,5.9026
2,5,7.166
2,6,6.784
2,8,6.5452
2,9,6.5452
2,10,6.8729
2,11,8.169
2,12,6.5104
2,13,8.9116
2,14,9.1574
2,15,8.6111
2,16,2.421
2,17,0.521
2,18,5.4065
2,19,0.5243
2,20,6.2131
2,21,5.4065
2,22,5.9256
2,23,6.5434
2,24,7.4676
2,25,6.7844
2,26,6.5434
2,27,5.9612
2,28,7.2043
2,29,7.2621
2,30,8.5519
2,34,12.8085
2,35,5.8129
2,37,6.7809
2,38,8.5519
2,39,6.5104
2,40,7.6707
2,41,7.6804
2,45,6.8721
2,48,6.2131
2,49,5.9256
2,50,8.8428
2,51,6.7844
2,52,5.752
2,56,7.3545
2,57,7.4668
2,58,10.3054
2,59,8.4376
2,62,14.1996
2,66,10.1488
2,67,9.1574
2,69,8.9017
2,70,12.7256
2,73,12.0637
2,74,10.0169
2,75,7.6707
2,77,7.7051
2,80,5.4277
2,81,9.1354
2,87,5.752
2,92,8.169
2,93,5.8129
2,95,8.1748
2,102,7.8222
2,108,6.4518
2,112,6.5582
2,116,6.5801
2,118,5.7648
2,119,12.8229
2,120,8.5928
2,121,14.4842
2,122,7.4676
2,123,8.1877
2,125,10.3054
2,126,7.4668
2,128,6.3427
2,129,2.421
2,130,8.5519
2,131,13.0072
2,132,9.511
2,133,6.4626
2,135,4.8025
2,136,8.4699
2,137,4.6683
2,138,5.8985
2,142,9.1481
2,144,7.685
2,146,7.7959
2,148,8.6142
2,149,5.9612
2,152,6.5434
2,153,7.685
2,158,10.0169
2,159,6.9107
2,166,7.3115
2,167,9.145
2,169,7.3544
2,171,5.7648
2,172,8.7381
2,175,0.521
2,179,8.8428
2,181,5.752
